Area	Rooms	Rent
	2 Zi.	1.260 €
	2 Zi.	1.100 €
80.8 m²	4 Zi.	1.911 €
135.59 m²	3 Zi.	2.645 €
24 m²	1 Zi.	716 €
69.09 m²	3 Zi.	440,79 €
105.85 m²	2.5 Zi.	2.222,85 €
124.11 m²	4 Zi.	1.862 €
38.16 m²	1 Zi.	854,78 €
27 m²	1 Zi.	720 €
126 m²	2 Zi.	1.953 €
53 m²	2 Zi.	990 €
83.2 m²	3 Zi.	1.161,02 €
91.7 m²	3 Zi.	1.766 €
53.24 m²	2 Zi.	958,32 €
48.7 m²	2 Zi.	842,83 €
75.38 m²	3 Zi.	1.170 €
186 m²	5 Zi.	2.900 €
47 m²	1 Zi.	596 €
113 m²	2 Zi.	1.864,50 €
21 m²	1 Zi.	487 €
52.3 m²	2 Zi.	856,71 €
57.25 m²	2 Zi.	1.400 €
52.07 m²	2 Zi.	1.275 €
45.64 m²	2 Zi.	1.118 €
96 m²	3 Zi.	2.110 €
41.33 m²	1 Zi.	558 €
68.34 m²	2 Zi.	679 €
95 m²	4 Zi.	1.650 €
25.35 m²	1 Zi.	679 €
77 m²	2 Zi.	807 €
43 m²	1 Zi.	960 €
87 m²	2.5 Zi.	1.180 €
53 m²	2 Zi.	1.352 €
70.57 m²	3 Zi.	1.560 €
80 m²	2 Zi.	1.255,50 €
56 m²	1 Zi.	1.557 €
70.62 m²	2 Zi.	1.053,20 €
68.48 m²	2 Zi.	1.053,20 €
113.6 m²	4 Zi.	2.045 €
55.16 m²	2 Zi.	935,80 €
73.46 m²	3 Zi.	1.128 €
57.25 m²	2 Zi.	1.374 €
59.45 m²	2 Zi.	776 €
72.74 m²	2 Zi.	764 €
100 m²	4 Zi.	1.000 €
40.97 m²	2 Zi.	819 €
67 m²	2 Zi.	685 €
124 m²	3 Zi.	2.925 €
83 m²	2 Zi.	1.690 €
94 m²	3 Zi.	1.905 €
88 m²	2 Zi.	1.925 €
87 m²	3 Zi.	1.985 €
86 m²	3 Zi.	2.020 €
114 m²	3 Zi.	2.645 €
87 m²	3 Zi.	1.272 €
40.02 m²	1 Zi.	587 €
40.53 m²	1 Zi.	594 €
122 m²	4 Zi.	2.440 €
118 m²	4 Zi.	2.360 €
106.33 m²	4 Zi.	2.126,60 €
109 m²	4 Zi.	2.180 €
75 m²	3.5 Zi.	1.650 €
79 m²	3 Zi.	1.650 €
42.6 m²	1 Zi.	769 €
168 m²	4 Zi.	3.835 €
183.63 m²	5 Zi.	1.719,55 €
105 m²	3 Zi.	1.399 €
57.25 m²	2 Zi.	1.400 €
53.7 m²	1 Zi.	1.181,40 €
67 m²	2 Zi.	725 €
22 m²	1 Zi.	460 €
74 m²	2 Zi.	1.147 €
119 m²		1.664 €
39.41 m²	1.5 Zi.	1.145 €
107 m²	3 Zi.	2.265 €
223.04 m²	6 Zi.	3.568,27 €
52.05 m²	2 Zi.	833 €
113.27 m²	4 Zi.	1.699,05 €
53.33 m²	2 Zi.	694 €
45.62 m²	2 Zi.	629 €
48.91 m²	2 Zi.	685 €
104 m²	4 Zi.	1.180 €
50.78 m²	2 Zi.	901,35 €
66 m²	2 Zi.	1.125 €
161 m²	5 Zi.	2.875 €
66 m²	2.5 Zi.	1.375 €
71.44 m²	2 Zi.	942,33 €
40 m²	1 Zi.	1.116 €
28 m²	1 Zi.	430 €
54 m²	3 Zi.	550 €
60.33 m²	2 Zi.	1.100 €
59.1 m²	3 Zi.	807,93 €
51.95 m²	2 Zi.	948,46 €
19 m²	1 Zi.	663 €
23 m²	1 Zi.	970 €
57.43 m²	2 Zi.	746,55 €
33 m²	1 Zi.	1.102 €
62 m²	1 Zi.	2.002 €
22 m²	1 Zi.	802 €
44 m²	1 Zi.	1.592 €
33 m²	1 Zi.	1.042 €
33 m²	1 Zi.	1.232,15 €
93 m²	2.5 Zi.	995 €
30.05 m²	1 Zi.	400 €
58.71 m²	2 Zi.	1.048,52 €
55.13 m²	2 Zi.	938 €
37.82 m²	1 Zi.	452 €
46.72 m²	2 Zi.	609,70 €
68.9 m²	2 Zi.	701 €
11 m²	1 Zi.	410 €
82 m²	3 Zi.	1.070 €
82.85 m²	3 Zi.	1.160 €
131 m²	5 Zi.	1.799 €
97.72 m²	3 Zi.	1.250 €
50.04 m²	2 Zi.	676 €
83.6 m²	3 Zi.	1.086,80 €
19 m²	1 Zi.	663 €
54.86 m²	2 Zi.	722 €
61.38 m²	2 Zi.	705,87 €
86.1 m²	2 Zi.	1.885 €
66 m²	2 Zi.	1.396 €
204.59 m²	5 Zi.	2.455 €
51.16 m²	2 Zi.	555 €
64.61 m²	2 Zi.	800 €
30.98 m²	1 Zi.	330 €
104.3 m²	4 Zi.	1.515 €
100 m²	4 Zi.	1.830 €
55.23 m²	2 Zi.	761,50 €
49.27 m²	2 Zi.	610 €
42.92 m²	2 Zi.	560 €
60.19 m²	3 Zi.	680 €
31 m²	1 Zi.	351 €
69 m²	2 Zi.	990 €
50.6 m²	2 Zi.	607 €
