Area	Rooms	Rent
28 m²	2 Zi.	540 €
46 m²	1 Zi.	564 €
47 m²	2 Zi.	538,21 €
50 m²	2 Zi.	585,75 €
59 m²	2 Zi.	600 €
40 m²	2 Zi.	533,28 €
106 m²	3 Zi.	1.485 €
82 m²	2 Zi.	870 €
85.9 m²	3 Zi.	1.500 €
72.27 m²	3 Zi.	1.263,85 €
39.6 m²	1 Zi.	659,06 €
77 m²	3 Zi.	906 €
98 m²	3 Zi.	2.000 €
20 m²	1 Zi.	690 €
83 m²	3 Zi.	1.876 €
44 m²	1 Zi.	595 €
78.34 m²	3 Zi.	730 €
64.92 m²	2 Zi.	938 €
49.91 m²	2 Zi.	869,27 €
47 m²	2 Zi.	580 €
85.4 m²	3 Zi.	1.878,80 €
62.5 m²	2 Zi.	1.090 €
81.73 m²	3 Zi.	583,86 €
123.1 m²	4 Zi.	1.931 €
70.99 m²	3 Zi.	923 €
73.98 m²	2.5 Zi.	740 €
63 m²	2.5 Zi.	825 €
71 m²	2 Zi.	1.237,53 €
69.3 m²	2 Zi.	602,91 €
158 m²	4 Zi.	2.600 €
74.84 m²	3 Zi.	1.429,44 €
80.87 m²	3 Zi.	1.150 €
75.84 m²	4 Zi.	949 €
63.53 m²	2 Zi.	945 €
66.28 m²	2 Zi.	503,73 €
82.5 m²	2 Zi.	1.101,25 €
45 m²	1 Zi.	475 €
39.84 m²	1.5 Zi.	278,88 €
63 m²	2 Zi.	576 €
130 m²	5 Zi.	1.430 €
120 m²	3 Zi.	1.140 €
69.68 m²	3 Zi.	971,25 €
97 m²	2 Zi.	1.067 €
195 m²	6 Zi.	3.300 €
111 m²	3 Zi.	1.525 €
62 m²	2 Zi.	900 €
86.33 m²	3 Zi.	1.290 €
65 m²	2.5 Zi.	800 €
90 m²	3 Zi.	1.600 €
29 m²	1 Zi.	430 €
108.92 m²	3 Zi.	1.850 €
88 m²	3 Zi.	1.276 €
84 m²	3 Zi.	1.400 €
52 m²	2 Zi.	650 €
36 m²	1.5 Zi.	438 €
72 m²	3 Zi.	1.300 €
75.75 m²	3 Zi.	807,50 €
71.81 m²	3 Zi.	778,42 €
73.47 m²	2.5 Zi.	789,80 €
96.76 m²	4 Zi.	1.076,94 €
58 m²	2 Zi.	900 €
80 m²	3 Zi.	740 €
71.3 m²	2 Zi.	1.140 €
88 m²	3 Zi.	1.230 €
76 m²	3 Zi.	1.590 €
45 m²	1 Zi.	800 €
100 m²	3 Zi.	1.400 €
52 m²	2 Zi.	570 €
13 m²	1 Zi.	400 €
57 m²	2 Zi.	1.272 €
28 m²	1 Zi.	716 €
55 m²	2 Zi.	786,50 €
53 m²	2 Zi.	1.100 €
51 m²	2 Zi.	588 €
55 m²	2 Zi.	859 €
67 m²	2.5 Zi.	850 €
35 m²	1 Zi.	470 €
82 m²	3 Zi.	1.550 €
74 m²	3 Zi.	1.145 €
21.09 m²	1 Zi.	485 €
144 m²	4 Zi.	3.170 €
88 m²	3 Zi.	1.195 €
70.46 m²	3 Zi.	985 €
74.24 m²	3 Zi.	1.795 €
134.29 m²	4 Zi.	3.910 €
67.76 m²	2 Zi.	1.995 €
91.58 m²	3 Zi.	2.145 €
84.8 m²	2 Zi.	2.245 €
106.99 m²	3 Zi.	2.310 €
134.75 m²	3 Zi.	3.850 €
66.91 m²	2 Zi.	500,49 €
63.01 m²	2.5 Zi.	540 €
109 m²	2 Zi.	1.798,50 €
65 m²	2 Zi.	800 €
42 m²	2 Zi.	492,03 €
64.53 m²	2.5 Zi.	800 €
21.04 m²	1 Zi.	425 €
97 m²	4 Zi.	2.065 €
38 m²	1 Zi.	503 €
114.56 m²	2 Zi.	2.321,68 €
31 m²	1 Zi.	840 €
31.5 m²	1 Zi.	905 €
41 m²	2 Zi.	985 €
92 m²	4.5 Zi.	1.655 €
68.56 m²	3 Zi.	472,41 €
94 m²	3 Zi.	1.289,33 €
82.72 m²	3 Zi.	669,20 €
84.14 m²	4 Zi.	953,31 €
33.79 m²	1 Zi.	534,37 €
60.82 m²	2 Zi.	950 €
45 m²	1 Zi.	1.136 €
112.78 m²	3 Zi.	2.250 €
99.92 m²	4 Zi.	2.250 €
60 m²	2 Zi.	1.470 €
47.68 m²	2 Zi.	500 €
30.28 m²	1 Zi.	549 €
41.48 m²	1 Zi.	1.195 €
45.67 m²	2 Zi.	402 €
59.35 m²	2 Zi.	650 €
57.26 m²	2 Zi.	805 €
74 m²	3 Zi.	1.539 €
75 m²	3 Zi.	950 €
80.18 m²	2 Zi.	1.140 €
66.22 m²	2 Zi.	1.200 €
83 m²	3 Zi.	970 €
65.31 m²	2 Zi.	645 €
65.66 m²	2.5 Zi.	535,19 €
66 m²	2 Zi.	900 €
102 m²	3 Zi.	1.795 €
86.51 m²	3 Zi.	1.187 €
71.8 m²	3 Zi.	929 €
46 m²	2 Zi.	570 €
51 m²	2 Zi.	595 €
45 m²	2 Zi.	590 €
41 m²	1 Zi.	700 €
53 m²	3.5 Zi.	998 €
78 m²	3 Zi.	1.400 €
117 m²	3 Zi.	2.050 €
53.94 m²	2 Zi.	530 €
37 m²	1 Zi.	497,31 €
73.49 m²	3 Zi.	983,19 €
53.5 m²	3 Zi.	650 €
42.73 m²	1 Zi.	670 €
79.25 m²	3 Zi.	999 €
63.5 m²	3 Zi.	620 €
62 m²	2 Zi.	785 €
78.24 m²	3 Zi.	1.760,40 €
63.52 m²	2 Zi.	815,62 €
64.62 m²	3 Zi.	1.357,02 €
90.62 m²	3 Zi.	1.721,78 €
105 m²	3 Zi.	1.575 €
22.47 m²	1 Zi.	674,10 €
66.1 m²	3 Zi.	538 €
49.2 m²	2 Zi.	670 €
122.9 m²	4 Zi.	1.767,30 €
27 m²	1 Zi.	420 €
70.2 m²	2 Zi.	1.123 €
